	23.0
0	3.0
1	4.0
10	1.0
100	1.0
101	1.0
102	1.0
103	1.0
104	1.0
105	1.0
106	1.0
107	1.0
108	1.0
109	1.0
11	1.0
110	1.0
111	1.0
112	1.0
113	1.0
114	1.0
115	1.0
116	1.0
117	1.0
118	1.0
119	1.0
12	1.0
120	1.0
121	1.0
122	1.0
123	1.0
124	1.0
125	1.0
126	1.0
127	1.0
128	1.0
129	1.0
13	1.0
130	1.0
131	1.0
132	1.0
133	1.0
134	1.0
135	1.0
136	1.0
137	1.0
138	1.0
139	1.0
14	1.0
140	1.0
141	1.0
142	1.0
143	1.0
144	1.0
145	1.0
146	1.0
147	1.0
1473	1.0
148	1.0
149	1.0
15	1.0
150	1.0
151	1.0
152	1.0
153	1.0
154	1.0
155	1.0
156	1.0
157	1.0
158	1.0
159	1.0
16	1.0
160	1.0
161	1.0
162	1.0
163	1.0
1637	1.0
164	1.0
165	1.0
166	1.0
167	1.0
168	1.0
169	1.0
17	2.0
170	1.0
1709	1.0
171	1.0
172	1.0
173	1.0
174	1.0
175	1.0
176	1.0
177	1.0
178	1.0
179	1.0
18	1.0
180	1.0
181	1.0
182	1.0
183	1.0
184	1.0
185	1.0
186	1.0
187	1.0
188	1.0
189	1.0
19	1.0
190	1.0
191	1.0
192	1.0
193	1.0
194	1.0
1945	2.0
195	1.0
196	1.0
197	1.0
198	1.0
199	1.0
2	3.0
20	1.0
200	1.0
201	1.0
202	1.0
203	1.0
204	1.0
205	1.0
206	1.0
207	1.0
208	1.0
209	1.0
21	1.0
210	1.0
211	1.0
212	1.0
213	1.0
214	1.0
215	1.0
216	1.0
217	1.0
218	1.0
219	1.0
22	1.0
220	1.0
221	1.0
222	1.0
223	1.0
224	1.0
225	1.0
226	1.0
227	1.0
228	1.0
229	1.0
23	1.0
230	1.0
231	1.0
232	1.0
233	1.0
234	1.0
235	1.0
236	1.0
237	1.0
238	1.0
239	1.0
24	1.0
240	1.0
241	1.0
242	1.0
243	1.0
244	1.0
245	1.0
246	1.0
247	1.0
248	1.0
249	1.0
25	1.0
26	1.0
27	1.0
28	1.0
29	1.0
3	4.0
30	1.0
31	3.0
32	1.0
33	1.0
34	1.0
35	1.0
36	1.0
37	1.0
38	1.0
382	1.0
39	1.0
4	4.0
40	1.0
41	1.0
42	1.0
43	1.0
44	1.0
45	1.0
46	1.0
47	1.0
48	1.0
49	1.0
5	1.0
50	1.0
51	1.0
52	1.0
53	1.0
54	1.0
55	1.0
56	1.0
57	1.0
58	1.0
59	1.0
6	1.0
60	1.0
61	1.0
62	1.0
63	1.0
64	1.0
65	1.0
66	1.0
67	1.0
68	1.0
69	1.0
7	1.0
70	1.0
71	1.0
72	1.0
73	1.0
74	1.0
75	1.0
76	1.0
77	1.0
78	1.0
79	1.0
8	1.0
80	1.0
81	1.0
82	1.0
83	1.0
84	1.0
85	1.0
86	1.0
87	1.0
88	1.0
89	1.0
9	1.0
90	2.0
91	1.0
92	1.0
93	1.0
94	1.0
95	1.0
96	1.0
97	1.0
98	1.0
99	1.0
a	1688.0
aaaaaaaaaargh	1.0
aaaargh	1.0
aaah	1.0
aargh	1.0
aback	1.0
abbott	1.0
able	26.0
abnormal	1.0
aboard	1.0
abou	6.0
about	224.0
aboutface	1.0
above	16.0
absolutely	2.0
absurd	1.0
abysmal	1.0
accept	2.0
accepted	2.0
accident	1.0
accidentally	2.0
accidents	2.0
according	1.0
account	1.0
accountant	1.0
ache	1.0
achieve	1.0
acid	1.0
aconite	1.0
acreeping	1.0
across	38.0
act	1.0
acted	2.0
acting	3.0
actually	2.0
adalbert	1.0
add	3.0
added	13.0
address	3.0
addressed	4.0
admirable	1.0
admirals	1.0
admired	1.0
admirers	1.0
admiring	3.0
admitted	2.0
adrian	2.0
advanced	1.0
advancing	1.0
adventure	5.0
advice	3.0
advised	1.0
aff	1.0
affairs	1.0
affect	1.0
afford	6.0
afraid	9.0
africa	1.0
african	1.0
after	68.0
afternoon	15.0
afternoons	2.0
afterward	2.0
again	101.0
against	34.0
age	5.0
ages	13.0
ago	13.0
agony	2.0
agree	2.0
agreed	10.0
agrippa	3.0
ah	11.0
aha	1.0
ahead	16.0
ahem	1.0
ahern	1.0
air	47.0
airily	1.0
airplane	2.0
ajar	4.0
alarm	2.0
alarming	1.0
alas	2.0
alberic	1.0
albus	12.0
alchemist	1.0
alchemy	3.0
algie	3.0
alibis	1.0
alicia	1.0
alien	1.0
alive	8.0
all	397.0
alley	8.0
allowed	18.0
almost	47.0
alohomora	2.0
alone	20.0
along	32.0
alongside	1.0
alot	1.0
aloud	2.0
already	43.0
also	15.0
alternative	1.0
although	11.0
always	41.0
am	11.0
amazed	4.0
amazement	4.0
amber	1.0
ambition	2.0
ambling	1.0
amid	1.0
amigo	1.0
among	4.0
amount	1.0
amuse	2.0
an	219.0
ancient	2.0
and	1919.0
angel	1.0
angelina	4.0
anger	4.0
angles	2.0
angrier	1.0
angrily	7.0
angry	15.0
animal	2.0
animals	5.0
ankles	3.0
announced	2.0
annoy	1.0
annoyed	1.0
annoying	2.0
another	55.0
anothers	1.0
answer	22.0
answered	4.0
answering	1.0
answers	1.0
anticheating	1.0
antidark	2.0
anxiety	1.0
anxious	2.0
anxiously	5.0
any	63.0
anymore	7.0
anyone	37.0
anyones	2.0
anythin	13.0
anything	74.0
anytime	1.0
anyway	31.0
anywhere	7.0
apart	13.0
apologized	1.0
apothecary	3.0
appear	1.0
appearance	2.0
appeared	12.0
applause	2.0
apple	1.0
approached	1.0
approve	1.0
arching	1.0
archway	5.0
are	158.0
aren	1.0
arent	13.0
argue	4.0
argued	1.0
arguing	2.0
argument	1.0
arguments	1.0
argus	1.0
arm	19.0
armchair	3.0
armchairs	4.0
armed	2.0
armor	7.0
armpit	1.0
arms	23.0
around	142.0
arrangements	1.0
arrival	1.0
arrivals	1.0
arrived	17.0
arriving	1.0
arrow	1.0
arrows	1.0
arsenius	1.0
art	1.0
arts	8.0
as	526.0
ashamed	2.0
ashenfaced	1.0
aside	4.0
ask	33.0
asked	60.0
askew	2.0
askin	3.0
asking	8.0
asleep	21.0
asphodel	2.0
assistant	1.0
assured	1.0
astonishing	3.0
