	2.0
10	1.0
11	1.0
12	1.0
13	1.0
14	1.0
15	1.0
16	1.0
17	1.0
18	1.0
19	1.0
20	1.0
21	1.0
22	1.0
23	1.0
24	1.0
25	1.0
26	1.0
27	1.0
28	1.0
29	1.0
30	1.0
31	1.0
32	1.0
33	1.0
34	1.0
35	1.0
36	1.0
37	1.0
38	1.0
39	1.0
40	1.0
41	1.0
42	1.0
43	1.0
44	1.0
45	1.0
46	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	1.0
a	466.0
abate	1.0
abbey	1.0
abed	1.0
abhorred	1.0
abhors	1.0
able	2.0
ableeding	1.0
aboard	1.0
aboundst	1.0
about	11.0
above	14.0
abraham	7.0
abroach	1.0
abroad	3.0
absolved	1.0
abuse	1.0
abused	1.0
abuses	1.0
accents	1.0
access	1.0
accident	1.0
accidents	1.0
according	1.0
account	2.0
accursed	1.0
accustomd	1.0
ache	1.0
aches	1.0
aching	1.0
acknowledge	1.0
acquaint	1.0
acquaintance	1.0
act	48.0
acted	1.0
acting	1.0
action	1.0
acts	1.0
adam	1.0
add	1.0
added	1.0
adding	1.0
addle	1.0
adieu	4.0
adjacent	1.0
admired	1.0
adoa	1.0
advance	1.0
advanced	3.0
advances	1.0
adventure	2.0
adversary	1.0
adversitys	1.0
advise	1.0
afeard	1.0
affecting	1.0
affection	2.0
affections	3.0
afflicted	1.0
affliction	1.0
afford	3.0
affords	1.0
affray	1.0
affright	1.0
afire	1.0
afore	3.0
afraid	1.0
after	5.0
afternoon	3.0
again	27.0
against	10.0
agatestone	1.0
age	6.0
agile	1.0
ago	2.0
agree	1.0
agrees	1.0
ah	18.0
aimd	1.0
air	7.0
airy	3.0
alack	11.0
alas	8.0
alderman	1.0
alike	3.0
alive	2.0
all	95.0
alla	1.0
allcheering	1.0
alliance	1.0
alligator	1.0
allow	1.0
allseeing	1.0
ally	1.0
almost	3.0
alone	16.0
along	4.0
aloof	3.0
aloud	2.0
already	5.0
although	1.0
am	59.0
amazed	2.0
ambiguities	1.0
ambling	1.0
ambuscadoes	1.0
amen	4.0
amended	1.0
amerce	1.0
among	6.0
amorous	2.0
an	81.0
anatomy	1.0
ancestors	1.0
ancient	9.0
and	761.0
andgodden	1.0
andtis	1.0
angel	1.0
angelica	1.0
angelical	1.0
angels	1.0
anger	4.0
angerd	1.0
angry	1.0
anguish	1.0
anon	8.0
another	11.0
anothers	3.0
anselme	1.0
answer	10.0
antic	2.0
antony	1.0
any	21.0
apace	2.0
ape	1.0
apology	1.0
apothecary	10.0
appear	3.0
appears	1.0
appertaining	1.0
appetite	1.0
apprehend	3.0
approach	3.0
april	1.0
apt	3.0
aqua	2.0
arbitrating	1.0
are	68.0
argues	1.0
argument	1.0
arise	3.0
arithmetic	1.0
arm	7.0
armd	2.0
armed	1.0
armour	1.0
arms	2.0
array	2.0
arrives	1.0
arrow	1.0
art	54.0
artificial	1.0
as	156.0
ascend	1.0
ashamed	1.0
ashes	2.0
aside	9.0
ask	5.0
askd	1.0
asked	2.0
asking	1.0
asleep	5.0
aspired	1.0
assailing	1.0
assembly	1.0
assistant	1.0
associate	1.0
assure	1.0
ast	1.0
asunder	1.0
at	70.0
athwart	1.0
atomies	1.0
attach	1.0
attempt	1.0
attend	4.0
attendants	3.0
attended	1.0
attending	1.0
attires	1.0
aught	2.0
augmenting	1.0
auroras	1.0
awake	2.0
awaking	1.0
awas	1.0
away	23.0
aweary	1.0
awhile	6.0
axe	1.0
ay	32.0
babe	1.0
bachelor	1.0
back	28.0
backs	1.0
backward	3.0
bad	3.0
bade	5.0
badst	1.0
baggage	2.0
bait	1.0
baked	1.0
bakes	1.0
baleful	1.0
ball	1.0
balthasar	19.0
bandy	1.0
bandying	1.0
banishd	5.0
banished	16.0
banishment	7.0
bankrupt	1.0
banquet	1.0
baptized	1.0
bare	3.0
barefoot	1.0
bargain	1.0
bark	3.0
basket	1.0
baskets	1.0
bating	1.0
battlements	1.0
bauble	1.0
bawd	3.0
bawdy	1.0
be	208.0
beams	2.0
bear	12.0
beard	1.0
bearing	2.0
bears	2.0
beast	3.0
beasts	1.0
beat	4.0
beaten	1.0
beats	4.0
beauteous	2.0
beauties	3.0
beautiful	1.0
beautify	1.0
beauty	11.0
beautys	2.0
because	10.0
becomed	1.0
becomes	1.0
bed	22.0
bedaubd	1.0
bedeck	1.0
been	20.0
beetle	1.0
befits	1.0
before	20.0
beg	4.0
began	2.0
beggarly	1.0
beggarmaid	1.0
beggars	2.0
beggary	1.0
begin	4.0
beginners	1.0
begins	2.0
begone	1.0
begot	1.0
beguild	1.0
beguiled	2.0
begun	1.0
behalf	1.0
behavior	1.0
behests	1.0
behind	2.0
behold	7.0
behoveful	1.0
being	25.0
believe	4.0
bell	1.0
bells	1.0
belong	1.0
belonging	2.0
beloved	1.0
below	1.0
bench	1.0
benedicite	1.0
benefice	1.0
bent	1.0
benvolio	81.0
bepaint	1.0
berhyme	1.0
bescreend	1.0
beseech	7.0
beseeming	1.0
beshrew	4.0
best	12.0
bestride	1.0
bestrides	1.0
betake	1.0
bethink	2.0
betossed	1.0
betrothd	1.0
better	12.0
between	3.0
betwitched	1.0
bid	18.0
bide	1.0
bids	1.0
bier	2.0
big	2.0
bigger	2.0
bills	1.0
bird	3.0
birds	2.0
birth	4.0
bit	1.0
bite	8.0
bitter	4.0
bitterly	2.0
black	10.0
blackbrowd	1.0
bladders	1.0
blade	2.0
blades	1.0
blame	1.0
blaze	1.0
blazon	1.0
bleeding	1.0
bleeds	1.0
bless	2.0
blessed	5.0
blessing	1.0
blessings	1.0
blest	2.0
blind	5.0
