	22.0
1	8.0
10	5.0
11	1.0
12	1.0
13	1.0
14	2.0
1473	1.0
15	1.0
16	1.0
1637	1.0
17	2.0
1709	1.0
175	1.0
1945	2.0
1967	1.0
1990	1.0
1er	3.0
2	3.0
2000	18.0
2125	1.0
225	1.0
256	1.0
260	1.0
275	2.0
3	2.0
31	2.0
3375	2.0
382	1.0
4	11.0
40	1.0
5	1.0
6	1.0
7	2.0
713	6.0
8	1.0
9	14.0
a	651.0
aaaaaaaaaaaaaaaaargh	1.0
aaaaaaaaaarg	1.0
aaaaaarrrgh	1.0
abaissa	1.0
abandonn	2.0
abandonner	2.0
abasourdi	6.0
abattit	2.0
abattre	2.0
abbot	1.0
abm	1.0
abme	1.0
abolira	1.0
abominables	1.0
abondamment	1.0
abondantes	1.0
abordait	1.0
abords	1.0
aboya	3.0
aboyatelle	2.0
abreuver	1.0
abritait	1.0
abrupte	1.0
absolu	2.0
absolument	11.0
absorbs	1.0
abstenir	1.0
abuser	1.0
accabl	2.0
accaparer	1.0
accentuant	1.0
accepta	1.0
accepter	2.0
accident	5.0
accidents	1.0
acclamations	4.0
acclamer	1.0
acclrer	1.0
accompagn	5.0
accompagna	2.0
accompagnant	1.0
accompagnent	1.0
accompagner	1.0
accompli	1.0
accord	2.0
accorda	1.0
accordait	1.0
accorder	2.0
accouraient	1.0
accourait	1.0
accourut	1.0
accoutr	1.0
accoutrements	1.0
accroch	4.0
accrochait	1.0
accroche	1.0
accroches	1.0
accrochs	2.0
accs	1.0
accueillante	1.0
accueillera	1.0
accueillirent	1.0
accueillis	1.0
accueillit	1.0
acharn	1.0
achemins	1.0
achet	5.0
acheta	1.0
achete	1.0
acheter	17.0
achetez	1.0
achetrent	1.0
achev	1.0
acheva	2.0
achterait	1.0
acquisitions	1.0
acrobaties	1.0
actionna	1.0
actuel	1.0
adalbert	1.0
additions	1.0
adeptes	1.0
adhsif	1.0
adjointe	1.0
admettre	1.0
admir	1.0
admirablement	1.0
admirait	1.0
admirateurs	1.0
admiratif	1.0
admiration	1.0
admirative	2.0
admis	1.0
admit	3.0
ador	3.0
adressa	8.0
adressaient	1.0
adressait	2.0
adressant	1.0
adresse	2.0
adresser	3.0
adresses	1.0
adulte	3.0
adversaire	4.0
adverse	4.0
adverses	1.0
ae	1.0
aequo	1.0
aevoil	1.0
affaire	5.0
affaires	10.0
affam	2.0
affect	1.0
affecter	1.0
affiche	1.0
affirm	1.0
affirma	1.0
affirmaient	1.0
affirmait	2.0
affreux	1.0
affront	1.0
affronter	3.0
africain	1.0
afrique	1.0
agaant	1.0
agace	2.0
agacement	1.0
agent	1.0
agents	1.0
agit	2.0
agita	2.0
agitait	3.0
agitant	2.0
agite	1.0
agiter	2.0
agitezla	1.0
agneau	1.0
agrable	4.0
agrippa	3.0
ah	34.0
ahanant	1.0
ahuri	2.0
ai	36.0
aid	3.0
aida	1.0
aidant	1.0
aide	3.0
aider	2.0
aidera	1.0
aiderait	1.0
aidezmoi	1.0
aie	2.0
aient	4.0
aigle	2.0
aigrelet	1.0
aigu	8.0
aiguille	2.0
aiguilles	2.0
aile	1.0
ailes	5.0
aille	5.0
ailles	2.0
ailleurs	4.0
aim	4.0
aimable	5.0
aimais	1.0
aimait	5.0
aime	2.0
aiment	1.0
aimerais	1.0
aimerait	1.0
ainsi	21.0
air	44.0
airs	13.0
aise	1.0
ait	42.0
ajout	1.0
ajouta	10.0
ajoutait	2.0
ajoutatelle	1.0
ajoutatil	9.0
ajoute	1.0
ajouter	3.0
ajustait	1.0
albus	14.0
alchimiques	1.0
alchimiste	2.0
alentour	2.0
alentours	3.0
algie	2.0
alicia	1.0
aligna	1.0
alignes	2.0
aligns	4.0
all	10.0
alla	20.0
allaient	4.0
allais	1.0
allait	33.0
allaitelle	1.0
allaitil	1.0
allaiton	1.0
allant	2.0
alle	5.0
aller	58.0
allez	31.0
allezvous	1.0
allezy	1.0
allie	1.0
alliez	1.0
allions	1.0
allong	3.0
allons	14.0
allonsy	6.0
allrent	8.0
alls	3.0
alluma	2.0
allume	1.0
allumer	1.0
allumes	2.0
allumette	2.0
allusion	3.0
alohomora	1.0
alors	170.0
altier	1.0
altrait	1.0
amateur	1.0
ambr	1.0
amega	1.0
amen	1.0
amena	1.0
amener	2.0
amenes	1.0
amens	1.0
amer	1.0
ami	7.0
amicalement	1.0
amie	3.0
amigo	1.0
amis	12.0
amnages	1.0
amnesty	1.0
amorc	1.0
amorcer	1.0
amortir	2.0
amour	3.0
amrement	1.0
amus	2.0
amusant	3.0
an	1.0
ananas	1.0
ancienne	1.0
anciennes	2.0
anciens	1.0
angelina	4.0
angelinabletchey	1.0
angle	1.0
angleterre	1.0
angoisse	2.0
angoisses	1.0
anim	1.0
animal	1.0
animation	1.0
animaux	4.0
anime	1.0
anne	36.0
anneaux	1.0
annes	11.0
anniversaire	8.0
anniversaires	1.0
annona	7.0
annonait	1.0
annonatil	2.0
annonce	1.0
annoncer	1.0
annoncrent	2.0
annulant	1.0
annule	1.0
anormal	1.0
ans	20.0
ansmais	1.0
antidote	1.0
apais	1.0
apercevaient	1.0
apercevait	3.0
apercevoir	1.0
apercevra	1.0
aperoivent	1.0
aperu	2.0
aperurent	2.0
aperut	8.0
apeur	2.0
aplatie	1.0
apothicaire	1.0
apparaissaient	1.0
apparaissait	1.0
apparatre	5.0
apparemment	10.0
apparence	1.0
appartenaient	1.0
appartenance	1.0
appartenir	1.0
appartenu	4.0
