	747.0
0	31.0
00	4.0
000	2.0
0001	4.0
00025	1.0
000475	1.0
0007	1.0
0009	2.0
001	14.0
001054	1.0
0015	1.0
00187	1.0
002	2.0
0025	2.0
002902	1.0
003900saudis	1.0
00396inderfurth	1.0
004	3.0
00400117	1.0
005	25.0
006	4.0
007	2.0
008	2.0
0084	1.0
01	17.0
010604	2.0
012	1.0
0125	1.0
012675	1.0
014	1.0
0140003hcs	1.0
01455a	1.0
015	1.0
0189	8.0
019	1.0
0198	1.0
02	9.0
020	2.0
02326	1.0
025	10.0
025edta	1.0
026b6	1.0
0289	4.0
02mar	1.0
03	4.0
030	1.0
0313	1.0
035243	1.0
04	6.0
04111886	2.0
041204	2.0
0415	2.0
041804	2.0
041824secretarys	1.0
04201	1.0
0430	2.0
044	1.0
04a	1.0
05	32.0
050	1.0
05158security	1.0
056	1.0
058	1.0
05994wp	1.0
06	4.0
069	1.0
07	4.0
073803	1.0
075	5.0
08	3.0
080	1.0
08472090000	1.0
085	1.0
085259094705	1.0
08567	1.0
0857	1.0
089	1.0
09	6.0
090300091002	1.0
090828091500	1.0
091002	1.0
095429	1.0
09898	1.0
09mb	1.0
0s	2.0
1	701.0
10	422.0
100	101.0
1000	34.0
10000	31.0
100000	23.0
1000fold	2.0
1000mile	2.0
1000room	1.0
1000yearold	1.0
100150	2.0
1002	2.0
1004	1.0
1006	1.0
1008a	1.0
10092	1.0
100f	1.0
100k	2.0
100km	1.0
100percent	1.0
100s	1.0
100th	2.0
100ton	1.0
101	15.0
1010	2.0
10101	1.0
101012	1.0
1011	10.0
1012	2.0
1012368	1.0
101299	1.0
101371journalpmed0020124	1.0
1014	1.0
1017	1.0
1019	1.0
102	15.0
1020	3.0
102001	1.0
102002	1.0
1023	1.0
102825	1.0
1029	1.0
102a1c	1.0
103	12.0
1030	2.0
1030am	1.0
1030pm	1.0
1033	2.0
1035	1.0
1038	1.0
1038662	5.0
1038714	1.0
104	11.0
104208	1.0
1043	1.0
1045	1.0
1049	1.0
104ft	2.0
105	20.0
10500	1.0
105000	1.0
105115	1.0
1056	1.0
1058m	1.0
105pm	1.0
105th	2.0
106	16.0
1060	2.0
106113	1.0
10613	1.0
106215	1.0
1063	1.0
1066	3.0
1067	1.0
106th	1.0
107	12.0
10756	2.0
1077	1.0
1079	2.0
107hectare	1.0
108	12.0
10800	1.0
10801	2.0
1085	2.0
108576	1.0
10898	1.0
10899	1.0
108f	1.0
108ft	1.0
108th	1.0
109	13.0
109130	1.0
109197	1.0
1093	1.0
10951117	2.0
1098	1.0
1099	1.0
10a	1.0
10am	7.0
10am10pm	1.0
10am1230pm	1.0
10am4	1.0
10am430pm	1.0
10am530pm	1.0
10am5pm	2.0
10am630pm	1.0
10am6pm	3.0
10am7pm	1.0
10amino	1.0
10amnoon	1.0
10day	2.0
10fold	1.0
10for	1.0
10highly	1.0
10however	1.0
10k	2.0
10k25k	2.0
10m	3.0
10minute	2.0
10norman	1.0
10pm	1.0
10since	1.0
10th	3.0
10thcentury	3.0
10the	2.0
10which	1.0
10year	5.0
10yearold	1.0
11	379.0
110	21.0
1100	5.0
11000	4.0
1107	1.0
11074	3.0
11098	1.0
110a2c	1.0
110a2d	2.0
110social	1.0
111	13.0
11114	1.0
1112	3.0
11133	1.0
11148	1.0
1115	1.0
11165	1.0
111711	1.0
11182	1.0
11183	1.0
112	14.0
1120	3.0
112001	5.0
112001084720095429	1.0
112001094245094705	1.0
112003	1.0
112114	1.0
11220	1.0
11241157	1.0
1125	1.0
1128	1.0
11297	1.0
112f2	1.0
113	7.0
11312	1.0
113138	2.0
1134	2.0
114	9.0
11420	1.0
1146	1.0
1147	1.0
114ft	1.0
115	14.0
115000	1.0
11500000	1.0
1151	1.0
11515	1.0
1155am	1.0
1156	1.0
1157	1.0
116	9.0
1160	1.0
1162	1.0
1163	2.0
1165	1.0
117	7.0
11703	1.0
117132	1.0
1173	1.0
1174	1.0
1177	1.0
118	10.0
1180	1.0
11815	2.0
1184	1.0
118mile	1.0
119	14.0
1190	4.0
119197	1.0
1193	1.0
1199	2.0
11991	1.0
11996	1.0
11999	4.0
11am	1.0
11am11pm	1.0
11am4pm	1.0
11am5pm	1.0
11arthur	1.0
11as	1.0
11christopher	1.0
11dimensional	2.0
11hour	2.0
11km	2.0
11n	1.0
11personal	1.0
11see	1.0
11th	15.0
11thcentury	11.0
11the	2.0
11year	2.0
12	330.0
120	23.0
1200	12.0
12000	11.0
120000	2.0
12000000	1.0
12003	2.0
1200acre	1.0
